Tahun,Jumlah,Laju
1950,1800.00,0.90
1951,1816.20,0.90
1952,1805.40,-0.59
1953,1821.90,0.91
1954,1810.60,-0.62
1955,1827.40,0.93
1956,1816.30,-0.61
1957,1833.20,0.93
1958,1821.80,-0.62
1959,1838.90,0.94
1960,1827.50,-0.62
1961,1845.20,0.97
1962,1833.40,-0.64
1963,1851.60,0.99
1964,1839.90,-0.63
1965,1858.30,1.00
1966,1846.40,-0.64
1967,1865.10,1.01
1968,1853.20,-0.64
1969,1872.40,1.03
1970,1860.60,-0.63
1971,1880.30,1.06
1972,1868.50,-0.63
1973,1888.80,1.09
1974,1877.10,-0.62
1975,1898.00,1.11
1976,1886.20,-0.62
1977,1907.60,1.13
1978,1895.80,-0.62
1979,1917.90,1.17
1980,1906.10,-0.62
1981,1928.80,1.19
1982,1917.00,-0.61
1983,1940.20,1.21
1984,1928.40,-0.61
1985,1952.30,1.24
1986,1940.50,-0.60
1987,1965.10,1.27
1988,1953.30,-0.60
1989,1978.60,1.29
1990,1966.90,-0.59
1991,1992.90,1.32
1992,1981.20,-0.59
1993,2008.00,1.35
1994,1996.30,-0.58
1995,2023.90,1.38
1996,2012.10,-0.58
1997,2040.60,1.41
1998,2028.90,-0.57
1999,2058.30,1.45
2000,2046.70,-0.56
2001,2077.00,1.48
2002,2065.40,-0.56
2003,2096.60,1.51
2004,2085.00,-0.55
2005,2117.10,1.54
2006,2105.50,-0.55
2007,2138.50,1.57
2008,2126.90,-0.54
2009,2160.80,1.59
2010,2149.20,-0.54
2011,2184.00,1.62
2012,2172.40,-0.53
2013,2208.10,1.64
2014,2196.50,-0.53
2015,2233.10,1.67
2016,2221.50,-0.52
2017,2259.00,1.69
2018,2247.40,-0.51
2019,2285.80,1.71
2020,2274.20,-0.51
2021,2313.40,1.73
2022,2301.80,-0.50
2023,2341.90,1.74
2024,2330.30,-0.49
2025,2371.20,1.76
